State,Year,Count,Total
ACT,2000,0,0
NT,2000,0,0
Tas,2000,0,0
Qld,2000,1,1
SA,2000,1,1
Vic,2000,1,1
NSW,2000,2,2
WA,2000,3,3
Qld,2001,2,3
NSW,2001,3,5
Qld,2002,1,4
Tas,2004,1,1
Qld,2005,1,5
NSW,2005,3,8
ACT,2006,1,1
NSW,2006,1,9
Qld,2006,1,6
Vic,2006,1,2
SA,2007,1,2
NSW,2008,1,10
Qld,2008,1,7
Vic,2008,1,3
Qld,2009,1,8
NSW,2009,2,12
Vic,2009,3,6
NSW,2010,1,13
SA,2010,1,3
Vic,2010,1,7
NT,2011,1,1
Qld,2011,3,11
NSW,2011,4,17
Qld,2012,1,12
SA,2013,1,4
Vic,2013,1,8
WA,2013,1,4
NSW,2013,2,19
NSW,2014,1,20
SA,2014,1,5
WA,2014,1,5
WA,2015,1,6
NSW,2015,4,24
NSW,2016,1,25
Vic,2016,0,8
WA,2016,0,6
Tas,2016,0,1
SA,2016,0,5
ACT,2016,0,1
NT,2016,0,1
Qld,2016,0,12
